code;name;baseidd;region;idd;time_start;time_end;opening_date;zone;s_stat;phone;phoneext;email;addr
122;м-н Зеленоград ТЦ Грин;0000755;Центральный регион;00005550003036326;10:00;22:00;2008-03-08 00:00:00.000;UTC +03:00;Закрыт;+7-495-662-31-76;1085;rozn755@gloria-jeans.ru;Москва, Зеленоград г., Панфиловский просп., корп.1550
83;м-н Смоленск Детский Мир;0000717;Центральный регион;00005550003036627;09:00;21:00;2007-08-31 00:00:00.000;UTC +03:00;Закрыт;+7-4812-32-88-94;1270;rozn717@gloria-jeans.ru;г. Смоленск, пр. Гагарина д.1
205;м-н Пермь ТД Метро;0000833;Урал;00005550003036970;10:00;21:00;2008-09-27 00:00:00.000;UTC +05:00;Закрыт;8(342)294 -53-49;;rozn833@gloria-jeans.ru;г.Пермь, ул.Куйбышева 31
86;м-н Красноярск Высотная;0000693;Сибирь;00005550003039005;10:00;21:00;2007-09-28 00:00:00.000;UTC +07:00;Действует;8-800-500-82-82;1741;rozn93@gloria-jeans.ru;г. Красноярск, ул. Высотная д.2 ж
258;м-н Лазаревское ТЦ Павловский;0000888;Южный регион;00005550003051972;09:00;20:00;2009-05-08 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1343;rozn888@gloria-jeans.ru;г.Сочи, Лазаревский р-н, п.Лазаревское, ул.Калараш 111
261;м-н Каменск-Уральский ТЦ Мегамарт;0000889;Урал;00005550003051973;10:00;21:00;2009-04-29 00:00:00.000;UTC +05:00;Действует;8-800-500-82-82;1311;rozn889@gloria-jeans.ru;г.Каменск-Уральский, ул.Суворова 24
128;м-н Челябинск ТЦ Горки;0000762;Урал;00005550003056525;10:00;22:00;2008-03-24 00:00:00.000;UTC +05:00;Действует;8-800-500-82-82;1874;rozn762@gloria-jeans.ru;г.Челябинск, ул.Артиллерийская 136
213;м-н Челябинск ТЦ Куба;0000841;Урал;00005550003056527;10:00;22:00;2008-10-11 00:00:00.000;UTC +05:00;Закрыт;+7-351-220-00-42;1430;rozn841@gloria-jeans.ru;г.Челябинск, ул.Цвиллинга 25
147;м-н Бийск ТЦ Мария РА;0000768;Сибирь;00005550003059806;10:00;21:00;2008-03-15 00:00:00.000;UTC +07:00;Действует;8-800-500-82-82;1040;rozn768@gloria-jeans.ru;г.Бийск, ул.Советская 205/2
162;м-н Красноярск ТЦ КрасноеЯрье;0000790;Сибирь;00005550003119981;10:00;20:00;2008-05-17 00:00:00.000;UTC +07:00;Действует;8-800-500-82-82;1336;rozn790@gloria-jeans.ru;г.Красноярск, пр.Красноярский рабочий 120
166;м-н Каменск-Уральский Победы;0000794;Урал;00005550003122778;10:00;20:00;2008-07-08 00:00:00.000;UTC +05:00;Закрыт;+7-3439-33-80-57;1769;rozn794@gloria-jeans.ru;Каменск-Уральский, пр.Победы 44
187;м-н Воронеж ТЦ Солнечный Рай;0000914;Центральный регион;00005550003126964;10:00;21:00;2009-11-16 00:00:00.000;UTC +03:00;Закрыт;+7-4732-33-02-15;1064;rozn914@gloria-jeans.ru;г. Воронеж, Ленинский р-н, ул. 20-летия Октября 90
259;м-н Одесса ТЦ Панорама;0000915;Украина;00005550003126965;10:00;22:00;2009-09-29 00:00:00.000;UTC +03:00;Закрыт;+380-48-239-23-70;1210;rozn915@gloria-jeans.ru;г. Одесса, пл. Деревянко 1
260;м-н Пермь Крисанова;0000916;Урал;00005550003126966;10:00;22:00;2009-11-02 00:00:00.000;UTC +05:00;Закрыт;8(342)256-57-86;1228;rozn916@gloria-jeans.ru;г. Пермь, ул. Крисанова 19
262;м-н Стерлитамак ТЦ Фабри;0000917;Поволжье;00005550003126967;10:00;22:00;2009-10-08 00:00:00.000;UTC +05:00;Действует;8-800-500-82-82;1276;rozn917@gloria-jeans.ru;Республика Башкортостан, г. Стерлитамак, ул. Худайбердина 120
263;м-н Сургут Ленина;0000918;Урал;00005550003126968;10:00;21:00;2009-11-12 00:00:00.000;UTC +05:00;Закрыт;8(3462)45-10-12;1277;rozn918@gloria-jeans.ru;г. Сургут, пр. Ленина 38
264;м-н С.-Петербург Ярослава Гашека;0000919;Северо-Западный регион;00005550003126969;10:00;22:00;2009-10-15 00:00:00.000;UTC +03:00;Закрыт;8(812)438-30-10;1256;rozn919@gloria-jeans.ru;г. Санкт-Петербург, ул. Ярослава Гашека 9/1
265;м-н Сочи Московская;0000920;Южный регион;00005550003126970;09:00;21:00;2009-10-10 00:00:00.000;UTC +03:00;Закрыт;8(909)426-35-55;1271;rozn920@gloria-jeans.ru;г. Сочи, Центральный район, ул. Московская 15
161;м-н Новосибирск Карла Маркса;0000789;Сибирь;00005550003128861;10:00;21:00;2008-05-24 00:00:00.000;UTC +07:00;Действует;8-800-500-82-82;1414;rozn789@gloria-jeans.ru;г.Новосибирск, пл.К. Маркса 3
76;м-н Красноярск АЛПИ Мате Залки;0000688;Сибирь;00005550003131476;10:00;21:00;2007-07-20 00:00:00.000;UTC +07:00;Действует;8-800-500-82-82;1591;rozn88@gloria-jeans.ru;г.Красноярск, ул. Мате Залки 5
95;м-н Красноярск Мега;0000695;Сибирь;00005550003134464;10:00;21:00;2007-10-27 00:00:00.000;UTC +07:00;Закрыт;8(3912)52-99-39;1333;rozn95@gloria-jeans.ru;г.Красноярск, ул.Красноярских рабочих, д.27
203;м-н Железногорск-Сиб ТЦ АЛПИ;0000831;Сибирь;00005550003134465;10:00;20:00;2008-09-21 00:00:00.000;UTC +07:00;Действует;8-800-500-82-82;1083;rozn831@gloria-jeans.ru;г.Железногорск, пр.Ленинградский 1б
155;м-н Омск ТЦ Континент;0000782;Сибирь;00005550003134466;10:00;21:00;2008-05-01 00:00:00.000;UTC +06:00;Закрыт;+7-3812-30-88-66;1216;rozn782@gloria-jeans.ru;г.Омск, 70 лет Октября 25 кор. 1
66;м-н Новосибирск Советская;0000676;Сибирь;00005550003142048;10:00;21:00;2007-03-30 00:00:00.000;UTC +07:00;Закрыт;8(383)222-00-80;;rozn76@gloria-jeans.ru;г.Новосибирск, ул. Советская 18
136;м-н Новосибирск ТРЦ Сибирский Молл;0000778;Сибирь;00005550003142049;10:00;22:00;2008-07-26 00:00:00.000;UTC +07:00;Закрыт;8(383)328-07-35;;rozn778@gloria-jeans.ru;г.Новосибирск, ул.Фрунзе 238
143;м-н Воскресенск ТРЦ на Ленинском проспекте;0000779;Центральный регион;00005550003142050;10:00;21:00;2008-04-11 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1065;rozn779@gloria-jeans.ru;г.Воскресенск, пл.Ленина 5
75;м-н Тула Первомайская;0000712;Центральный регион;00005550003142051;09:00;21:00;2007-06-20 00:00:00.000;UTC +03:00;Закрыт;+7-4872-70-05-38;1294;rozn712@gloria-jeans.ru;г. Тула, ул. Первомайская, 10
55;м-н Екатеринбург ТЦ Карнавал;0000666;Урал;00005550003142220;10:00;22:00;2006-12-16 00:00:00.000;UTC +05:00;Действует;8-800-500-82-82;1075;rozn66@gloria-jeans.ru;г. Екатеринбург, ул.Халтурина д.55, ТЦ Карнавал
80;м-н Магнитогорск Гостиный Двор;0000690;Урал;00005550003142441;10:00;21:00;2007-08-10 00:00:00.000;UTC +05:00;Действует;8-800-500-82-82;1352;rozn90@gloria-jeans.ru;г.Магнитогорск, К.Маркса, 153, ТЦ Гостиный Двор
182;м-н Пермь ТЦ Шоколад;0000810;Урал;00005550003142442;10:00;22:00;2008-07-20 00:00:00.000;UTC +05:00;Закрыт;8-906-88-807-81;;rozn810@gloria-jeans.ru;г.Пермь, ул.Героев Хасана 105
108;м-н Москва Глобал Сити;0000754;Центральный регион;00005550003159245;10:00;22:00;2007-12-18 00:00:00.000;UTC +03:00;Закрыт;8(495)987-36-93;1360;rozn754@gloria-jeans.ru;г. Москва, ул. Днепропетровская, д.2
134;м-н Москва Энтузиастов;0000769;Центральный регион;00005550003161719;09:00;21:00;2008-03-23 00:00:00.000;UTC +03:00;Закрыт;8(495)672-24-98;1382;rozn769@gloria-jeans.ru;г.Москва, ш.Энтузиастов 66/1
93;м-н Москва Дежнева;0000718;Центральный регион;00005550003173515;09:00;21:00;2007-10-16 00:00:00.000;UTC +03:00;Закрыт;8(499)18-61-531;1361;rozn718@gloria-jeans.ru;г.Москва, проезд Дежнева, д.29 корп.1
40;м-н Москва Балашиха;0000709;Центральный регион;00005550003173516;10:00;22:00;2006-03-07 00:00:00.000;UTC +03:00;Закрыт;8-800-500-82-82;1662;rozn709@gloria-jeans.ru;г.Балашиха, ул.Победы  2
42;м-н Мытищи ТЦ Красный Кит;0000710;Центральный регион;00005550003184788;10:00;23:00;2006-04-05 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1365;rozn710@gloria-jeans.ru;г.Мытищи, Шараповский проезд вл.2
266;м-н Владимир ТЦ Мегаторг;0000922;Центральный регион;00005550003194912;10:00;22:00;2009-11-27 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1050;rozn922@gloria-jeans.ru;г. Владимир, ул. Тракторная 45
267;м-н Курган ТЦ Пушкинский;0000923;Урал;00005550003194913;10:00;22:00;2010-01-29 00:00:00.000;UTC +05:00;Действует;8-800-500-82-82;1339;rozn923@gloria-jeans.ru;г. Курган, ул. Пушкина 25
268;м-н Краснодар ТЦ Красная площадь;0000924;Южный регион;00005550003194914;10:00;22:00;2009-10-31 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1330;rozn924@gloria-jeans.ru;г. Краснодар, ул. им. Дзержинского 100
